6	-9.741834	-9.598902
6	-12.019105	-6.668654
2	-3.447002	9.857809
5	1.333418	-14.423397
2	-9.328490	11.836774
6	-11.703072	-3.117850
5	2.075454	-17.557944
3	-2.546862	-0.750913
1	-7.997833	-15.469602
5	-0.197740	-11.166123
1	-7.124495	-9.654619
1	-8.278770	-12.043811
2	-11.983488	13.752136
6	-10.949524	-7.606024
6	-13.651094	-2.965461
2	-5.928602	8.437466
6	-10.728850	-6.366683
0	1.698865	-9.183854
1	-5.705498	-5.729525
4	-20.063981	-13.283953
6	-6.420348	-6.026085
4	-25.749065	-17.394311
0	-4.489684	-5.447214
2	-6.262919	12.808138
6	-13.445253	-1.423851
2	-5.789655	13.016459
4	-25.605421	-6.815800
6	-12.517655	-6.722000
0	-0.266242	-2.642163
6	-12.260268	-12.366934
1	-11.358650	-7.636805
6	-12.574074	-6.832240
5	-6.254679	-17.325886
4	-20.897110	-18.249043
2	-7.442911	10.519982
3	-2.608319	-1.879506
6	-11.639940	-3.902055
0	6.356584	-12.156590
2	-12.436766	11.903156
1	-6.628719	-12.175522
2	-6.231801	10.820270
0	-2.485222	-5.781469
5	2.224950	-12.917919
6	-7.553071	-0.737443
5	0.725787	-15.655193
3	-10.277096	-3.548583
3	-2.009137	-1.053986
4	-27.031119	-18.019525
0	1.639970	-4.304369
5	7.923821	-14.324432
0	3.027081	-17.432634
2	-5.179422	9.637934
5	-4.112408	-12.108452
6	-14.910690	-3.181612
0	-5.435615	-12.423318
4	-26.477579	-16.736256
0	0.493591	-6.866925
6	-15.156694	-10.158772
4	-22.766994	-16.898685
2	-7.777222	11.149858
4	-30.577220	-17.075586
0	0.051541	-6.946827
5	2.033951	-19.612262
0	-1.470331	-12.617725
3	-6.235100	4.654320
1	-5.312505	-11.932225
1	-8.671981	-11.679375
4	-26.337422	-16.153817
6	-11.151059	-6.719325
1	-11.540306	-6.776309
0	2.261958	-4.574032
4	-22.998989	-14.543558
0	4.893585	-7.826886
2	-5.621095	7.886561
2	-10.852645	15.571252
0	-3.674590	-11.180047
3	-3.531890	-9.959348
3	-3.557727	-0.664447
4	-26.063267	-16.123749
1	-14.144368	-10.523568
3	-8.466926	-7.259320
3	-3.860336	-2.728476
1	-5.937433	-11.253627
5	2.568789	-16.840522
4	-23.325089	-15.792028
2	-10.225588	7.151646
3	-8.618913	-6.261695
6	-12.884464	-7.873486
2	-6.672267	6.771385
5	2.062622	-14.122573
4	-31.294896	-16.149681
1	-12.077064	-5.996021
3	-5.270200	0.741168
2	-10.954863	7.372637
2	-5.203774	9.549910
6	-6.445488	-5.496947
0	-2.277756	-4.791160
2	-5.390510	14.094101
2	-9.951652	15.284102
2	-8.962183	10.254864
5	0.845952	-17.068562
4	-26.501882	-16.942491
6	-7.874484	-2.728807
5	2.372947	-16.298397
2	-8.962883	11.620328
3	-9.472236	-11.207250
4	-27.595416	-11.867868
6	-6.776823	1.826306
2	-8.092355	5.085608
2	-10.875834	9.710512
3	-2.566265	0.534642
4	-30.247843	-18.450454
2	-2.914035	6.420740
2	-5.435004	10.272044
0	-5.250585	-12.486659
1	-7.213167	-16.714998
5	-6.632496	-10.473283
1	-8.394204	-10.634071
1	-13.952153	-10.080748
3	-4.951927	-2.084845
3	-7.930338	-3.407771
6	-12.383122	1.439042
0	-0.406311	-7.578102
